,actual,prediction
6885,0.5432,0.4853727706
6886,0.4506,0.4866731355
6887,0.5432,0.4849651032
6888,0.4506,0.4958905117
6889,0.5432,0.4952515437
6890,0.5432,0.5195075004
6891,0.4753,0.505920707
6892,0.5432,0.4852724021
6893,0.5432,0.4951408948
6894,0.5494,0.4909373439
6895,0.4753,0.4925339982
6896,0.4506,0.5232355572
6897,0.4877,0.4952053606
6898,0.4136,0.5000951614
6899,0.5802,0.5026147657
6900,0.537,0.4977790439
6901,0.5802,0.4868037497
6902,0.5556,0.4867086384
6903,0.5556,0.4877435962
6904,0.5556,0.4954727939
6905,0.5185,0.4904346779
6906,0.4691,0.4943284322
6907,0.4691,0.4844888658
6908,0.5123,0.528760027
6909,0.5123,0.5227931435
6910,0.4753,0.4845838626
6911,0.4753,0.4848143717
6912,0.5494,0.5103188263
6913,0.4321,0.4898122989
6914,0.4321,0.4890175411
6915,0.4321,0.5018174673
6916,0.4321,0.4957425347
6917,0.4383,0.5195908511
6918,0.4753,0.4850172828
6919,0.5926,0.4852298573
6920,0.5926,0.4865768663
6921,0.5062,0.4871528802
6922,0.5802,0.5090504561
6923,0.5802,0.4917862809
6924,0.3951,0.4787945898
6925,0.3951,0.4886158467
6926,0.3951,0.4986590215
6927,0.4877,0.50047583
6928,0.5062,0.4878883579
6929,0.4753,0.4844942639
6930,0.5062,0.4887713217
6931,0.4753,0.4863129541
6932,0.5062,0.4943631677
6933,0.4753,0.4862329094
6934,0.4877,0.4985014295
6935,0.5556,0.4944509144
6936,0.4877,0.4935342774
6937,0.4321,0.5064580516
6938,0.4877,0.4941199521
6939,0.4321,0.4929540206
6940,0.537,0.483483082
6941,0.5802,0.484524349
6942,0.4136,0.5084427289
6943,0.4321,0.4999105591
6944,0.4136,0.5027159511
6945,0.4753,0.4853678495
6946,0.4321,0.496344923
6947,0.4136,0.4881818507
6948,0.4321,0.511044372
6949,0.5062,0.4846217515
6950,0.5802,0.4848231243
6951,0.5062,0.4950748189
6952,0.5802,0.4880538921
6953,0.5802,0.4866776198
6954,0.5802,0.4997811652
6955,0.5802,0.4972196561
6956,0.4753,0.5198285972
6957,0.4136,0.4984545196
6958,0.5494,0.5072460055
6959,0.5926,0.4849379315
6960,0.5926,0.5034493126
6961,0.5926,0.4942773423
6962,0.5926,0.4917902246
6963,0.5926,0.5011488771
6964,0.5926,0.4919034958
6965,0.4074,0.4869834881
6966,0.4877,0.4879119518
6967,0.4877,0.4979376293
6968,0.4877,0.4888720159
6969,0.4321,0.4849064467
6970,0.4506,0.4896720616
6971,0.4877,0.4844876609
6972,0.4753,0.4863348397
6973,0.4321,0.4993925033
6974,0.5556,0.4983615841
6975,0.4753,0.5014786673
6976,0.4753,0.4901745612
6977,0.4753,0.4906600119
6978,0.4753,0.4978744106
6979,0.4753,0.4992028483
6980,0.4321,0.4895330027
6981,0.4506,0.5189866865
6982,0.4691,0.4853672499
6983,0.5432,0.5003148923
6984,0.5185,0.4993862249
6985,0.4691,0.4847237014
6986,0.5432,0.4925384426
6987,0.5185,0.4941240556
6988,0.4691,0.4828781052
6989,0.5432,0.5025541736
6990,0.5185,0.5195908511
6991,0.4753,0.4852982138
6992,0.5123,0.4920271559
6993,0.5123,0.4931577884
6994,0.4506,0.4867134255
6995,0.4506,0.4864085471
6996,0.5926,0.4901185486
6997,0.5926,0.4906811567
6998,0.5926,0.4878711134
6999,0.5926,0.4877342867
7000,0.537,0.4845651754
7001,0.4753,0.4853924252
7002,0.537,0.4845085803
7003,0.4753,0.4847768625
7004,0.537,0.48634489
7005,0.4753,0.4868393226
7006,0.537,0.4863561739
7007,0.4753,0.4800680876
7008,0.537,0.484545672
7009,0.4753,0.4851815037
7010,0.537,0.4848419056
7011,0.4753,0.4847918819
7012,0.4136,0.4994134748
7013,0.5494,0.4957342172
7014,0.4136,0.4979911855
7015,0.5494,0.4960676513
7016,0.4691,0.4931136547
7017,0.4691,0.5002566365
7018,0.4877,0.5357838008
7019,0.5556,0.5096829788
7020,0.6049,0.4950367877
7021,0.5432,0.4951103631
7022,0.5802,0.4884121824
7023,0.4074,0.4871469006
7024,0.6049,0.501226568
7025,0.5432,0.4973293004
7026,0.6049,0.5042625119
7027,0.5432,0.4953532514
7028,0.4321,0.5036314452
7029,0.4506,0.4911428314
7030,0.5432,0.4889658074
7031,0.4321,0.4846472807
7032,0.5432,0.4919841123
7033,0.5432,0.4906352023
7034,0.4321,0.4846607894
7035,0.5432,0.494586798
7036,0.5432,0.4901849066
7037,0.4321,0.4846464636
7038,0.5432,0.4938938066
7039,0.537,0.5074960426
7040,0.4753,0.486859804
7041,0.5062,0.4848169539
7042,0.4506,0.4890905025
7043,0.4506,0.487804709
7044,0.4506,0.4880545722
7045,0.4753,0.499424884
7046,0.4506,0.4856996232
7047,0.5556,0.4983413248
7048,0.5556,0.5356823019
7049,0.5432,0.4994933941
7050,0.5556,0.4969942162
7051,0.4506,0.484812718
7052,0.4506,0.4854960836
7053,0.4506,0.48521452
7054,0.4506,0.4960962366
7055,0.4506,0.4867741722
7056,0.4506,0.5044160939
7057,0.5802,0.4986236051
7058,0.5185,0.5192228095
7059,0.5062,0.484738841
7060,0.4877,0.4871570129
7061,0.5926,0.4941911486
7062,0.4877,0.4849507514
7063,0.4753,0.487174466
7064,0.5062,0.5118449659
7065,0.5062,0.5051990171
7066,0.5432,0.5067019747
7067,0.4136,0.4964898373
7068,0.4877,0.4956358106
7069,0.5123,0.4844969983
7070,0.5494,0.5484880155
7071,0.4321,0.4981519199
7072,0.4506,0.4785672451
7073,0.4506,0.4980234892
7074,0.537,0.4875922768
7075,0.5123,0.48450549
7076,0.537,0.4893934392
7077,0.5123,0.4848781903
7078,0.4136,0.4936949419
7079,0.5247,0.4853241737
7080,0.4136,0.4893537076
7081,0.5247,0.4848081351
7082,0.4136,0.496184415
7083,0.5247,0.4859090439
7084,0.4136,0.5102144754
7085,0.5247,0.4971400795
7086,0.4136,0.4993815132
7087,0.5247,0.4958965193
7088,0.5062,0.4844836674
7089,0.5123,0.4844873694
7090,0.4753,0.4939509575
7091,0.4753,0.4915728441
7092,0.4877,0.5053997908
7093,0.5123,0.4871454206
7094,0.5123,0.4861960584
7095,0.3951,0.5404661506
7096,0.4753,0.5001164794
7097,0.4383,0.4891639145
7098,0.5432,0.4875751921
7099,0.4383,0.487234566
7100,0.5432,0.4862809132
7101,0.5247,0.5141082604
7102,0.5062,0.5161631358
7103,0.5062,0.5127182405
7104,0.5062,0.489549125
7105,0.5062,0.4867536186
7106,0.5432,0.4988292815
7107,0.5802,0.54418877
7108,0.5556,0.5040025866
7109,0.5556,0.496115991
7110,0.4074,0.4924863424
7111,0.5926,0.4850618144
7112,0.4321,0.5089099911
7113,0.4321,0.4891138732
7114,0.4321,0.4875891243
7115,0.4321,0.4976259339
7116,0.4321,0.4886800401
7117,0.5556,0.4866512248
7118,0.5926,0.494857513
7119,0.4506,0.5164115033
7120,0.5494,0.5350243322
7121,0.5802,0.4913865326
7122,0.5494,0.532516173
7123,0.5062,0.4889911988
7124,0.5123,0.4886434854
7125,0.3951,0.4845480216
7126,0.4877,0.4859053057
7127,0.4877,0.4856103455
7128,0.4877,0.4966057746
7129,0.4877,0.4930135586
7130,0.4877,0.5030583879
7131,0.4753,0.4905101962
7132,0.4753,0.4977761232
7133,0.5123,0.5116166173
7134,0.5432,0.5000707673
7135,0.6049,0.4957282117
7136,0.6049,0.4851795763
7137,0.6049,0.4871686855
7138,0.6049,0.4852272488
7139,0.6049,0.4879633341
7140,0.5556,0.4967402697
7141,0.5185,0.4903390343
7142,0.5432,0.5092749725
7143,0.4753,0.4948934133
7144,0.3951,0.4937865877
7145,0.3951,0.5032365728
7146,0.3951,0.4964776089
7147,0.5802,0.4855105033
7148,0.5556,0.4852224909
7149,0.5432,0.4918290404
7150,0.6049,0.4985031291
7151,0.5432,0.4985152264
7152,0.6049,0.5030087151
7153,0.4506,0.5090132336
7154,0.4321,0.4874322502
7155,0.6049,0.5195075004
7156,0.5802,0.4917718999
7157,0.4506,0.5012406765
7158,0.4321,0.5000238373
7159,0.5926,0.5027369231
7160,0.5494,0.4938460154
7161,0.5432,0.4733531384
7162,0.4753,0.5129840032
7163,0.4321,0.4846851286
7164,0.4321,0.4955569781
7165,0.4321,0.4864016412
7166,0.4506,0.5014246562
7167,0.4753,0.4875270689
7168,0.5247,0.5032309376
7169,0.3951,0.5108089106
7170,0.4753,0.4854979804
7171,0.5926,0.4882247237
7172,0.4877,0.4976105788
7173,0.4506,0.4844988399
7174,0.4691,0.4897885224
7175,0.6049,0.4884482401
7176,0.4506,0.4852008264
7177,0.5432,0.4942942947
7178,0.4506,0.4850100277
7179,0.5432,0.4919726947
7180,0.4753,0.488154551
7181,0.4753,0.4932492884
7182,0.4691,0.4849404569
7183,0.5123,0.4955427653
7184,0.4877,0.4847576328
7185,0.5556,0.4946139035
7186,0.5926,0.4919497703
7187,0.5802,0.4851569028
7188,0.5926,0.4850282325
7189,0.4321,0.4966165225
7190,0.5432,0.4960259507
7191,0.5432,0.5000814014
7192,0.5432,0.4965324175
7193,0.5432,0.4907304763
7194,0.4136,0.4954296378
7195,0.3951,0.4843291187
7196,0.537,0.48638827
7197,0.537,0.486344478
7198,0.4383,0.4849062756
7199,0.4753,0.5024538985
7200,0.4074,0.5005298014
7201,0.5494,0.4853049268
7202,0.4753,0.4865777503
7203,0.5185,0.4875598434
7204,0.4753,0.4852111379
