,actual,prediction
6899,0.5802,0.4970524663
6900,0.537,0.4970146995
6901,0.5802,0.4970146995
6902,0.5556,0.4970146995
6903,0.5556,0.4970146995
6904,0.5556,0.5336303652
6905,0.5185,0.4970146995
6906,0.4691,0.4970138834
6907,0.4691,0.4970146995
6908,0.5123,0.4970146995
6909,0.5123,0.4970147395
6910,0.4753,0.4970146995
6911,0.4753,0.4970146995
6912,0.5494,0.4970146995
6913,0.4321,0.4970146995
6914,0.4321,0.4970146995
6915,0.4321,0.4970146995
6916,0.4321,0.4970146995
6917,0.4383,0.5016402874
6918,0.4753,0.4970146995
6919,0.5926,0.4970146995
6920,0.5926,0.4970146995
6921,0.5062,0.4970146995
6922,0.5802,0.4909804014
6923,0.5802,0.4970146995
6924,0.3951,0.4970146995
6925,0.3951,0.4970148588
6926,0.3951,0.4939792475
6927,0.4877,0.4970146995
6928,0.5062,0.4970146995
6929,0.4753,0.4970146995
6930,0.5062,0.4970225007
6931,0.4753,0.4970060486
6932,0.5062,0.497014699
6933,0.4753,0.4970146943
6934,0.4877,0.4970146995
6935,0.5556,0.4970147136
6936,0.4877,0.4970146995
6937,0.4321,0.4970146995
6938,0.4877,0.4970146995
6939,0.4321,0.4970146995
6940,0.537,0.4970146995
6941,0.5802,0.4970146995
6942,0.4136,0.4970147134
6943,0.4321,0.4970146995
6944,0.4136,0.4970146995
6945,0.4753,0.4970146995
6946,0.4321,0.4970146995
6947,0.4136,0.4970146995
6948,0.4321,0.4970146995
6949,0.5062,0.4970146995
6950,0.5802,0.4790337369
6951,0.5062,0.497014699
6952,0.5802,0.4970146995
6953,0.5802,0.4970146995
6954,0.5802,0.5123900389
6955,0.5802,0.497060166
6956,0.4753,0.4970146995
6957,0.4136,0.4970146993
6958,0.5494,0.4970146961
6959,0.5926,0.4970146995
6960,0.5926,0.4970146996
6961,0.5926,0.4970146995
6962,0.5926,0.4970146995
6963,0.5926,0.4909772661
6964,0.5926,0.4970146995
6965,0.4074,0.4970146995
6966,0.4877,0.4970146995
6967,0.4877,0.4909800373
6968,0.4877,0.4970146995
6969,0.4321,0.4970146995
6970,0.4506,0.4970146995
6971,0.4877,0.4970146995
6972,0.4753,0.4970145988
6973,0.4321,0.4970146995
6974,0.5556,0.4970146995
6975,0.4753,0.4909780528
6976,0.4753,0.4970146995
6977,0.4753,0.4970146995
6978,0.4753,0.4970146996
6979,0.4753,0.4973942285
6980,0.4321,0.4970146995
6981,0.4506,0.497063097
6982,0.4691,0.4979462062
6983,0.5432,0.4970183432
6984,0.5185,0.4970458839
6985,0.4691,0.4970147051
6986,0.5432,0.4970146995
6987,0.5185,0.4970146997
6988,0.4691,0.5929329213
6989,0.5432,0.5073477551
6990,0.5185,0.5016402874
6991,0.4753,0.4970146995
6992,0.5123,0.4970146995
6993,0.5123,0.4970146995
6994,0.4506,0.4970146995
6995,0.4506,0.4970146995
6996,0.5926,0.4970146995
6997,0.5926,0.4970146995
6998,0.5926,0.4970146995
6999,0.5926,0.4970146995
7000,0.537,0.4970146995
7001,0.4753,0.4970146995
7002,0.537,0.4970146995
7003,0.4753,0.4970146995
7004,0.537,0.4351497953
7005,0.4753,0.4419835504
7006,0.537,0.4970146989
7007,0.4753,0.4970146986
7008,0.537,0.4970146995
7009,0.4753,0.4970146995
7010,0.537,0.4970146995
7011,0.4753,0.4970146995
7012,0.4136,0.4970146995
7013,0.5494,0.4970146995
7014,0.4136,0.4970146995
7015,0.5494,0.4970146995
7016,0.4691,0.4970146995
7017,0.4691,0.4970146995
7018,0.4877,0.4970146995
7019,0.5556,0.4970146995
7020,0.6049,0.4970146995
7021,0.5432,0.4970146995
7022,0.5802,0.4970146995
7023,0.4074,0.4970146995
7024,0.6049,0.4970146995
7025,0.5432,0.4970146995
7026,0.6049,0.4970146996
7027,0.5432,0.4970146995
7028,0.4321,0.4970146995
7029,0.4506,0.4970146995
7030,0.5432,0.4970146995
7031,0.4321,0.4970146995
7032,0.5432,0.4970146995
7033,0.5432,0.4970146995
7034,0.4321,0.4970146995
7035,0.5432,0.4970146995
7036,0.5432,0.4970146995
7037,0.4321,0.4970146995
7038,0.5432,0.4970146995
7039,0.537,0.4970146995
7040,0.4753,0.4970146995
7041,0.5062,0.4970146995
7042,0.4506,0.4970146995
7043,0.4506,0.4970146995
7044,0.4506,0.4970146995
7045,0.4753,0.4970146998
7046,0.4506,0.4970146995
7047,0.5556,0.4970146995
7048,0.5556,0.585884862
7049,0.5432,0.4970146995
7050,0.5556,0.4970146995
7051,0.4506,0.4970146995
7052,0.4506,0.4970146995
7053,0.4506,0.4970146995
7054,0.4506,0.490956735
7055,0.4506,0.4970146995
7056,0.4506,0.4970146995
7057,0.5802,0.4970146994
7058,0.5185,0.4970146995
7059,0.5062,0.4970146995
7060,0.4877,0.4970146995
7061,0.5926,0.4970146995
7062,0.4877,0.4970146995
7063,0.4753,0.4970147008
7064,0.5062,0.4970146995
7065,0.5062,0.4909780052
7066,0.5432,0.4970146995
7067,0.4136,0.4970612623
7068,0.4877,0.4970146995
7069,0.5123,0.4970146995
7070,0.5494,0.4970146995
7071,0.4321,0.4970146995
7072,0.4506,0.4970146995
7073,0.4506,0.4970146995
7074,0.537,0.4970146995
7075,0.5123,0.4970146995
7076,0.537,0.4970150548
7077,0.5123,0.4968177954
7078,0.4136,0.4970146995
7079,0.5247,0.4970146995
7080,0.4136,0.4970146995
7081,0.5247,0.4970146995
7082,0.4136,0.4970146995
7083,0.5247,0.4970146995
7084,0.4136,0.5585766292
7085,0.5247,0.5105465324
7086,0.4136,0.5053875161
7087,0.5247,0.5477621982
7088,0.5062,0.4970146995
7089,0.5123,0.4970146995
7090,0.4753,0.4970146995
7091,0.4753,0.4970146995
7092,0.4877,0.4970147348
7093,0.5123,0.4970146995
7094,0.5123,0.4970146995
7095,0.3951,0.4970146995
7096,0.4753,0.4970146995
7097,0.4383,0.4970146995
7098,0.5432,0.4970146995
7099,0.4383,0.4970146995
7100,0.5432,0.4970146995
7101,0.5247,0.4970146995
7102,0.5062,0.4970146995
7103,0.5062,0.5355010068
7104,0.5062,0.4970146995
7105,0.5062,0.4970146995
7106,0.5432,0.4970146995
7107,0.5802,0.4970146995
7108,0.5556,0.4992109848
7109,0.5556,0.4970146995
7110,0.4074,0.4970146995
7111,0.5926,0.4970146995
7112,0.4321,0.4909830697
7113,0.4321,0.4970146995
7114,0.4321,0.4970146995
7115,0.4321,0.4970146999
7116,0.4321,0.4970146995
7117,0.5556,0.4970146995
7118,0.5926,0.4970146995
7119,0.4506,0.4970166874
7120,0.5494,0.4970146995
7121,0.5802,0.4970146995
7122,0.5494,0.4966507794
7123,0.5062,0.4970146995
7124,0.5123,0.4970146995
7125,0.3951,0.4970146995
7126,0.4877,0.4970146995
7127,0.4877,0.4970146995
7128,0.4877,0.4910676335
7129,0.4877,0.4970146995
7130,0.4877,0.4970146995
7131,0.4753,0.4970146995
7132,0.4753,0.4970146995
7133,0.5123,0.4970163425
7134,0.5432,0.4970146995
7135,0.6049,0.5261905178
7136,0.6049,0.4970146995
7137,0.6049,0.4970146995
7138,0.6049,0.4970146995
7139,0.6049,0.4970148893
7140,0.5556,0.4970146995
7141,0.5185,0.4970146995
7142,0.5432,0.4970146995
7143,0.4753,0.4970146996
7144,0.3951,0.4970146995
7145,0.3951,0.4970214507
7146,0.3951,0.4970146995
7147,0.5802,0.4970146995
7148,0.5556,0.4970146995
7149,0.5432,0.4970146995
7150,0.6049,0.4970146995
7151,0.5432,0.4970146995
7152,0.6049,0.4970146995
7153,0.4506,0.4970146995
7154,0.4321,0.4970146995
7155,0.6049,0.5230967663
7156,0.5802,0.4970146995
7157,0.4506,0.4970146995
7158,0.4321,0.4970146995
7159,0.5926,0.4970146995
7160,0.5494,0.4970146995
7161,0.5432,0.4970146995
7162,0.4753,0.4970146995
7163,0.4321,0.4970146995
7164,0.4321,0.4906828744
7165,0.4321,0.4970146995
7166,0.4506,0.4970146995
7167,0.4753,0.4970146995
7168,0.5247,0.4970146995
7169,0.3951,0.497672632
7170,0.4753,0.4970146995
7171,0.5926,0.4970146995
7172,0.4877,0.4970146995
7173,0.4506,0.4970146995
7174,0.4691,0.4970146995
7175,0.6049,0.4970146995
7176,0.4506,0.4970146995
7177,0.5432,0.4970146995
7178,0.4506,0.4970146995
7179,0.5432,0.4970146995
7180,0.4753,0.4970146995
7181,0.4753,0.4970146995
7182,0.4691,0.4970146995
7183,0.5123,0.4970146995
7184,0.4877,0.4970146995
7185,0.5556,0.4970146995
7186,0.5926,0.4970146995
7187,0.5802,0.4970146995
7188,0.5926,0.4970146995
7189,0.4321,0.4970146997
7190,0.5432,0.4970146995
7191,0.5432,0.4970146995
7192,0.5432,0.4970146995
7193,0.5432,0.4970146995
7194,0.4136,0.4970146995
7195,0.3951,0.4970146995
7196,0.537,0.4970146995
7197,0.537,0.4970146995
7198,0.4383,0.4970146995
7199,0.4753,0.4970146995
7200,0.4074,0.4970146995
7201,0.5494,0.4970146995
7202,0.4753,0.4970146995
7203,0.5185,0.4970146995
7204,0.4753,0.4970146995
7205,0.5185,0.4970146995
7206,0.4753,0.4970146995
7207,0.5185,0.4970146995
7208,0.4753,0.4970146995
7209,0.4753,0.4970146995
7210,0.4691,0.4970146995
7211,0.4753,0.4970146995
7212,0.4383,0.4970146998
7213,0.5062,0.4970146995
7214,0.4506,0.4970146995
7215,0.5123,0.4970146996
7216,0.5494,0.4970146995
7217,0.5123,0.4970146995
7218,0.5494,0.4970146995
7219,0.4506,0.4970146995
7220,0.4506,0.4970146995
7221,0.4506,0.4970146995
7222,0.4321,0.5915078176
7223,0.4753,0.5109848191
7224,0.4321,0.4970146995
7225,0.4753,0.4970146995
7226,0.4321,0.4970146995
7227,0.4753,0.4970146995
7228,0.4321,0.4970146995
7229,0.4753,0.4970146995
7230,0.4321,0.4970146995
7231,0.4753,0.4970146995
7232,0.4321,0.4970146995
7233,0.4753,0.4970146995
7234,0.537,0.4970146995
7235,0.4074,0.4974679155
7236,0.4877,0.4970146995
7237,0.5062,0.4970146995
7238,0.5062,0.4970146995
7239,0.5062,0.4970146995
7240,0.5062,0.4970146995
7241,0.4383,0.5190785718
7242,0.4383,0.4970146995
7243,0.4383,0.4970146995
7244,0.4383,0.4970146995
7245,0.5494,0.4970146995
7246,0.6049,0.4970146995
7247,0.4321,0.5510254595
7248,0.4321,0.4970146995
7249,0.5432,0.4970588613
7250,0.4877,0.4970146995
7251,0.4321,0.4970146995
7252,0.5432,0.4918760214
7253,0.5432,0.4970146995
7254,0.5432,0.4915307972
7255,0.3951,0.4970146995
7256,0.3951,0.4970146995
7257,0.4506,0.4970146995
7258,0.6049,0.4970612623
7259,0.5185,0.4970248073
7260,0.5926,0.4970146462
7261,0.4321,0.4970146995
7262,0.5556,0.4970146995
7263,0.5432,0.4970146993
7264,0.4136,0.4970146995
7265,0.5494,0.4970146995
7266,0.4506,0.4970146995
7267,0.5556,0.4970146995
7268,0.4691,0.4970146995
7269,0.4383,0.4970146995
7270,0.4383,0.4970146995
7271,0.4383,0.4970146995
7272,0.4383,0.4970146995
7273,0.4383,0.4970146995
7274,0.5247,0.4970146995
