,actual,prediction,,
6576,0.4691,0.5063820022,,0.0372820022
6577,0.5062,0.4987328216,,0.0074671784
6578,0.4691,0.5168527215,,0.0477527215
6579,0.5062,0.503806194,,0.002393806
6580,0.4691,0.4919978928,,0.0228978928
6581,0.4691,0.5196795336,,0.0505795336
6582,0.4506,0.4861244547,,0.0355244547
6583,0.4321,0.4921440263,,0.0600440263
6584,0.4383,0.4977142289,,0.0594142289
6585,0.4877,0.5195075004,,0.0318075004
6586,0.537,0.4910180701,,0.0459819299
6587,0.6049,0.4927814431,,0.1121185569
6588,0.537,0.4856300069,,0.0513699931
6589,0.6049,0.4852118764,,0.1196881236
6590,0.537,0.4877357642,,0.0492642358
6591,0.6049,0.4854219843,,0.1194780157
6592,0.4753,0.4862291722,,0.0109291722
6593,0.5123,0.5029686718,,0.0093313282
6594,0.5494,0.5027159511,,0.0466840489
6595,0.5432,0.502830161,,0.040369839
6596,0.4506,0.4860766494,,0.0354766494
6597,0.6049,0.498754437,,0.106145563
6598,0.5432,0.5156125053,,0.0275874947
6599,0.4321,0.5097861768,,0.0776861768
6600,0.5802,0.4954740507,,0.0847259493
6601,0.5802,0.4891162475,,0.0910837525
6602,0.5802,0.4962850743,,0.0839149257
6603,0.5494,0.4914134015,,0.0579865985
6604,0.4383,0.4847940365,,0.0464940365
6605,0.4074,0.4845304345,,0.0771304345
6606,0.5556,0.4866906565,,0.0689093435
6607,0.5556,0.5195908511,,0.0360091489
6608,0.4506,0.4954732998,,0.0448732998
6609,0.5185,0.5017407182,,0.0167592818
6610,0.5247,0.5015073155,,0.0231926845
6611,0.5926,0.4864377294,,0.1061622706
6612,0.5247,0.5038949745,,0.0208050255
6613,0.5926,0.4868155332,,0.1057844668
6614,0.5247,0.5106399602,,0.0140600398
6615,0.5926,0.4971544704,,0.0954455296
6616,0.4753,0.4846571595,,0.0093571595
6617,0.5123,0.526320512,,0.014020512
6618,0.5556,0.5463460153,,0.0092539847
6619,0.5556,0.5376621855,,0.0179378145
6620,0.3951,0.4864840713,,0.0913840713
6621,0.5494,0.490026198,,0.059373802
6622,0.5432,0.484539347,,0.058660653
6623,0.6049,0.5521268971,,0.0527731029
6624,0.6049,0.5454232718,,0.0594767282
6625,0.5432,0.4888490807,,0.0543509193
6626,0.5432,0.4889198527,,0.0542801473
6627,0.5432,0.4701449725,,0.0730550275
6628,0.4753,0.5031222011,,0.0278222011
6629,0.3951,0.4849376411,,0.0898376411
6630,0.6049,0.5472290993,,0.0576709007
6631,0.3951,0.4849084867,,0.0898084867
6632,0.6049,0.5471116303,,0.0577883697
6633,0.4877,0.4851082394,,0.0025917606
6634,0.4877,0.4957189942,,0.0080189942
6635,0.4877,0.4851107299,,0.0025892701
6636,0.4877,0.4851400143,,0.0025599857
6637,0.4877,0.4962410832,,0.0085410832
6638,0.4753,0.5014337124,,0.0261337124
6639,0.4506,0.5194805276,,0.0688805276
6640,0.537,0.516933052,,0.020066948
6641,0.4753,0.4993883314,,0.0240883314
6642,0.4383,0.5016629724,,0.0633629724
6643,0.5185,0.4983637985,,0.0201362015
6644,0.4383,0.4957259824,,0.0574259824
6645,0.5185,0.4939331011,,0.0245668989
6646,0.4877,0.4979766018,,0.0102766018
6647,0.4506,0.4847249551,,0.0341249551
6648,0.5802,0.4871092983,,0.0930907017
6649,0.4506,0.4846330147,,0.0340330147
6650,0.5802,0.4861389369,,0.0940610631
6651,0.4877,0.5046175013,,0.0169175013
6652,0.6049,0.5150491989,,0.0898508011
6653,0.5556,0.544508512,,0.011091488
6654,0.5556,0.545031525,,0.010568475
6655,0.4383,0.4971253501,,0.0588253501
6656,0.4136,0.4851534088,,0.0715534088
6657,0.4383,0.4910547328,,0.0527547328
6658,0.4136,0.484796262,,0.071196262
6659,0.4383,0.5019832179,,0.0636832179
6660,0.4136,0.4955846294,,0.0819846294
6661,0.4383,0.4924254422,,0.0541254422
6662,0.4136,0.4848705557,,0.0712705557
6663,0.4383,0.5034786285,,0.0651786285
6664,0.4136,0.4866872526,,0.0730872526
6665,0.4383,0.5019832179,,0.0636832179
6666,0.4136,0.4955846294,,0.0819846294
6667,0.5247,0.4973779398,,0.0273220602
6668,0.5556,0.4969037845,,0.0586962155
6669,0.4506,0.5007293054,,0.0501293054
6670,0.4321,0.4885258437,,0.0564258437
